image_id,rank,concept,activation,neuron,status,naming_similarity,margin,image_threshold
img_000000,1,lung opacity,0.1511734277009964,867,assigned,0.4535501301288605,0.0102263391017913,0.033189647
img_000000,2,right lung opacity,0.1229521706700325,650,assigned,0.4651892781257629,0.0093771815299987,0.033189647
img_000000,3,emphysema,0.1175888404250145,1011,assigned,0.4603700339794159,0.0101089775562286,0.033189647
img_000000,4,bibasilar atelectasis,0.0969039797782898,955,assigned,0.4731957614421844,0.0171475708484649,0.033189647
img_000000,5,cardiac pacemaker,0.0967761278152465,168,assigned,0.4632525146007538,0.0120645463466644,0.033189647
img_000001,1,pleural thickening,0.0762591138482093,772,assigned,0.4741891324520111,0.0028676092624664,0.027015239
img_000001,2,emphysema,0.0736732259392738,1013,assigned,0.4390330612659454,0.0122467875480651,0.027015239
img_000001,3,bibasilar atelectasis,0.0715850293636322,571,assigned,0.4734841883182525,0.0127116441726684,0.027015239
img_000001,4,no acute cardiopulmonary abnormality,0.0707629919052124,154,assigned,0.457934021949768,0.0086809992790222,0.027015239
img_000002,1,chest tube,0.1266833543777465,605,assigned,0.4522990882396698,0.0044855773448944,0.032550573
img_000002,2,emphysema,0.1059370413422584,1013,assigned,0.4390330612659454,0.0122467875480651,0.032550573
img_000002,3,pulmonary edema,0.1057554557919502,255,assigned,0.4598415791988373,0.0088100135326385,0.032550573
img_000002,4,left basilar atelectasis,0.0953158512711525,17,assigned,0.4575070738792419,0.0052221417427062,0.032550573
img_000003,1,clear lungs,0.0800869464874267,173,assigned,0.4641516506671905,0.0020467340946197,0.026253011
img_000003,2,emphysema,0.0741389468312263,1011,assigned,0.4603700339794159,0.0101089775562286,0.026253011
img_000003,3,cardiac pacemaker,0.0671522840857505,460,assigned,0.4720390439033508,0.0089587271213531,0.026253011
img_000003,4,lung opacity,0.0645473524928093,867,assigned,0.4535501301288605,0.0102263391017913,0.026253011
img_000004,1,left basilar atelectasis,0.0971701219677925,17,assigned,0.4575070738792419,0.0052221417427062,0.027876196
img_000004,2,lung opacity,0.0760154128074646,195,assigned,0.4606810212135315,0.0027670860290527,0.027876196
img_000004,3,normal chest x-ray,0.0674999952316284,818,assigned,0.4665918946266174,0.0030629634857177,0.027876196
img_000005,1,clear lungs,0.1116514727473259,998,assigned,0.4600952565670013,0.0045830011367797,0.027121136
img_000005,2,emphysema,0.0945840701460838,1013,assigned,0.4390330612659454,0.0122467875480651,0.027121136
img_000005,3,normal chest x-ray,0.0754223316907882,818,assigned,0.4665918946266174,0.0030629634857177,0.027121136
img_000005,4,lung opacity,0.0703049749135971,195,assigned,0.4606810212135315,0.0027670860290527,0.027121136
img_000006,1,emphysema,0.1172598749399185,1013,assigned,0.4390330612659454,0.0122467875480651,0.030555665
