neuron,mean_activation,max_activation,active_fraction,is_dead,is_too_rare,is_always_on,is_usable
0,0.01908347,0.07575284,0.9273333333333333,False,False,False,True
1,0.0,0.0,0.0,True,True,False,False
2,0.017728278,0.06544478,0.9376666666666666,False,False,False,True
3,0.0,0.0,0.0,True,True,False,False
4,0.0,0.0,0.0,True,True,False,False
5,0.015903218,0.059541017,0.9246666666666666,False,False,False,True
6,0.009786152,0.049516197,0.9133333333333333,False,False,False,True
7,0.0,0.0,0.0,True,True,False,False
8,0.0,0.0,0.0,True,True,False,False
9,0.0,0.0,0.0,True,True,False,False
10,0.0,0.0,0.0,True,True,False,False
11,0.0,0.0,0.0,True,True,False,False
12,0.0,0.0,0.0,True,True,False,False
13,0.0,0.0,0.0,True,True,False,False
14,0.0,0.0,0.0,True,True,False,False
15,0.0,0.0,0.0,True,True,False,False
16,0.0,0.0,0.0,True,True,False,False
17,0.0,0.0,0.0,True,True,False,False
18,0.0,0.0,0.0,True,True,False,False
19,0.014363601,0.056384087,0.9203333333333333,False,False,False,True
20,0.0,0.0,0.0,True,True,False,False
21,0.032444566,0.11133179,0.9746666666666667,False,False,False,True
22,0.0,0.0,0.0,True,True,False,False
23,0.0,0.0,0.0,True,True,False,False
24,0.0,0.0,0.0,True,True,False,False
25,0.0,0.0,0.0,True,True,False,False
26,0.0,0.0,0.0,True,True,False,False
27,0.0,0.0,0.0,True,True,False,False
28,0.0,0.0,0.0,True,True,False,False
29,0.0,0.0,0.0,True,True,False,False
30,0.0,0.0,0.0,True,True,False,False
31,0.0,0.0,0.0,True,True,False,False
32,0.0,0.0,0.0,True,True,False,False
33,0.0,0.0,0.0,True,True,False,False
34,0.0,0.0,0.0,True,True,False,False
35,0.0,0.0,0.0,True,True,False,False
36,0.020796958,0.05036462,0.926,False,False,False,True
37,0.0,0.0,0.0,True,True,False,False
38,0.0,0.0,0.0,True,True,False,False
39,0.0,0.0,0.0,True,True,False,False
40,0.0,0.0,0.0,True,True,False,False
41,0.01905327,0.07959624,0.947,False,False,False,True
42,0.0,0.0,0.0,True,True,False,False
43,0.0,0.0,0.0,True,True,False,False
44,0.0,0.0,0.0,True,True,False,False
45,0.0,0.0,0.0,True,True,False,False
46,0.0,0.0,0.0,True,True,False,False
47,0.0,0.0,0.0,True,True,False,False
48,0.0,0.0,0.0,True,True,False,False
49,0.022623321,0.09319485,0.9623333333333334,False,False,False,True
50,0.0,0.0,0.0,True,True,False,False
51,0.0,0.0,0.0,True,True,False,False
52,0.0,0.0,0.0,True,True,False,False
53,0.012877923,0.061918184,0.926,False,False,False,True
54,0.0,0.0,0.0,True,True,False,False
55,0.0,0.0,0.0,True,True,False,False
56,0.0,0.0,0.0,True,True,False,False
57,0.0,0.0,0.0,True,True,False,False
58,0.0,0.0,0.0,True,True,False,False
59,0.01774631,0.07645806,0.9316666666666666,False,False,False,True
60,0.0,0.0,0.0,True,True,False,False
61,0.0,0.0,0.0,True,True,False,False
62,0.029227426,0.09961833,0.9643333333333334,False,False,False,True
63,0.0,0.0,0.0,True,True,False,False
64,0.01664449,0.08879169,0.9266666666666666,False,False,False,True
65,0.0,0.0,0.0,True,True,False,False
66,0.0,0.0,0.0,True,True,False,False
67,0.0,0.0,0.0,True,True,False,False
68,0.021245144,0.08698139,0.937,False,False,False,True
69,0.0,0.0,0.0,True,True,False,False
70,0.017879928,0.06600676,0.9216666666666666,False,False,False,True
71,0.015352271,0.06135796,0.914,False,False,False,True
72,0.0,0.0,0.0,True,True,False,False
73,0.0,0.0,0.0,True,True,False,False
74,0.0,0.0,0.0,True,True,False,False
75,0.0,0.0,0.0,True,True,False,False
76,0.0,0.0,0.0,True,True,False,False
77,0.0,0.0,0.0,True,True,False,False
78,0.0,0.0,0.0,True,True,False,False
79,0.0,0.0,0.0,True,True,False,False
80,0.0,0.0,0.0,True,True,False,False
81,0.0,0.0,0.0,True,True,False,False
82,0.007146511,0.04467162,0.8383333333333334,False,False,False,True
83,0.0,0.0,0.0,True,True,False,False
84,0.0,0.0,0.0,True,True,False,False
85,0.0,0.0,0.0,True,True,False,False
86,0.0,0.0,0.0,True,True,False,False
87,0.01788789,0.060472578,0.9316666666666666,False,False,False,True
88,0.0,0.0,0.0,True,True,False,False
89,0.025020925,0.09402448,0.957,False,False,False,True
90,0.012862132,0.076915555,0.926,False,False,False,True
91,0.0,0.0,0.0,True,True,False,False
92,0.0177004,0.07129111,0.941,False,False,False,True
93,0.0,0.0,0.0,True,True,False,False
94,0.0,0.0,0.0,True,True,False,False
95,0.0,0.0,0.0,True,True,False,False
96,0.0,0.0,0.0,True,True,False,False
97,2.1028816e-05,0.029609082,0.0026666666666666666,False,True,False,False
98,0.0,0.0,0.0,True,True,False,False
99,0.0,0.0,0.0,True,True,False,False
100,0.019553287,0.056325603,0.9533333333333334,False,False,False,True
101,0.0,0.0,0.0,True,True,False,False
102,0.0,0.0,0.0,True,True,False,False
103,0.0,0.0,0.0,True,True,False,False
104,0.0,0.0,0.0,True,True,False,False
105,0.01640762,0.06984162,0.9203333333333333,False,False,False,True
106,0.0,0.0,0.0,True,True,False,False
107,0.014608335,0.052138127,0.913,False,False,False,True
108,0.0,0.0,0.0,True,True,False,False
109,0.0,0.0,0.0,True,True,False,False
110,0.0,0.0,0.0,True,True,False,False
111,0.0,0.0,0.0,True,True,False,False
