image_id,rank,concept,activation,neuron,status,naming_similarity,margin
img_000000,1,left lung opacity,0.0818820521235466,813,ambiguous,0.3573637008666992,0.00014519691467285156
img_000000,2,bilateral lung opacities,0.08014354854822159,936,ambiguous,0.36236679553985596,0.0004328787326812744
img_000000,3,left pneumothorax,0.05591496080160141,951,ambiguous,0.35128164291381836,0.00030621886253356934
img_000000,4,small pneumothorax,0.04518364742398262,21,ambiguous,0.35216766595840454,0.0004692673683166504
img_000001,1,left lung opacity,0.06306318193674088,544,ambiguous,0.3539101481437683,0.00019979476928710938
img_000001,2,bilateral lung opacities,0.05809391289949417,801,ambiguous,0.35600703954696655,0.001716911792755127
img_000001,3,small pneumothorax,0.03898950666189194,62,ambiguous,0.3494170308113098,0.0006357133388519287
img_000002,1,left lung opacity,0.06497637927532196,1003,ambiguous,0.35532066226005554,0.0005412399768829346
img_000002,2,small pneumothorax,0.062072332948446274,148,ambiguous,0.3520383834838867,7.200241088867188e-05
img_000002,3,bilateral lung opacities,0.05852906405925751,151,ambiguous,0.3580682873725891,0.00037470459938049316
img_000002,4,left pneumothorax,0.0533793568611145,668,ambiguous,0.3496948778629303,0.0007964968681335449
img_000003,1,bilateral lung opacities,0.06369176506996155,368,assigned,0.3607766032218933,0.0028638243675231934
img_000003,2,left pneumothorax,0.048806965351104736,648,ambiguous,0.35294777154922485,0.0005842447280883789
img_000003,3,left lung opacity,0.044076643884181976,1003,ambiguous,0.35532066226005554,0.0005412399768829346
img_000004,1,bilateral lung opacities,0.06867554038763046,605,ambiguous,0.35039347410202026,0.0006618797779083252
img_000004,2,left pneumothorax,0.06332014501094818,951,ambiguous,0.35128164291381836,0.00030621886253356934
img_000004,3,left lung opacity,0.055252816528081894,1003,ambiguous,0.35532066226005554,0.0005412399768829346
img_000005,1,bilateral lung opacities,0.06079397350549698,801,ambiguous,0.35600703954696655,0.001716911792755127
img_000005,2,left lung opacity,0.0531516969203949,544,ambiguous,0.3539101481437683,0.00019979476928710938
img_000006,1,left lung opacity,0.07557780295610428,238,ambiguous,0.35525569319725037,0.0012386143207550049
img_000006,2,bilateral lung opacities,0.07437267899513245,522,ambiguous,0.36014336347579956,0.0018553733825683594
img_000006,3,small pneumothorax,0.04213332757353783,257,ambiguous,0.3508352041244507,0.0003860592842102051
img_000007,1,bilateral lung opacities,0.08092764765024185,605,ambiguous,0.35039347410202026,0.0006618797779083252
img_000007,2,left lung opacity,0.05743370205163956,516,ambiguous,0.3510397672653198,0.001067817211151123
img_000007,3,small pneumothorax,0.04148784652352333,407,ambiguous,0.34337225556373596,0.00010886788368225098
img_000008,1,small pneumothorax,0.06721687316894531,21,ambiguous,0.35216766595840454,0.0004692673683166504
img_000008,2,bilateral lung opacities,0.06365203857421875,368,assigned,0.3607766032218933,0.0028638243675231934
img_000008,3,left lung opacity,0.05003302916884422,544,ambiguous,0.3539101481437683,0.00019979476928710938
img_000009,1,bilateral lung opacities,0.057097822427749634,522,ambiguous,0.36014336347579956,0.0018553733825683594
img_000009,2,left lung opacity,0.05549553781747818,238,ambiguous,0.35525569319725037,0.0012386143207550049
img_000009,3,small pneumothorax,0.04890132695436478,223,ambiguous,0.35326647758483887,0.0019886791706085205
img_000010,1,left lung opacity,0.06807227432727814,939,ambiguous,0.3586135804653168,0.00034496188163757324
img_000010,2,small pneumothorax,0.05354195833206177,512,ambiguous,0.35197708010673523,0.0004550516605377197
img_000010,3,bilateral lung opacities,0.053368858993053436,605,ambiguous,0.35039347410202026,0.0006618797779083252
img_000011,1,bilateral lung opacities,0.11248248815536499,522,ambiguous,0.36014336347579956,0.0018553733825683594
img_000011,2,left lung opacity,0.060561180114746094,939,ambiguous,0.3586135804653168,0.00034496188163757324
img_000011,3,small pneumothorax,0.040133193135261536,148,ambiguous,0.3520383834838867,7.200241088867188e-05
img_000012,1,bilateral lung opacities,0.055129341781139374,605,ambiguous,0.35039347410202026,0.0006618797779083252
img_000012,2,left pneumothorax,0.054100401699543,648,ambiguous,0.35294777154922485,0.0005842447280883789
img_000012,3,left lung opacity,0.048989761620759964,712,ambiguous,0.34879767894744873,7.599592208862305e-05
img_000012,4,small pneumothorax,0.044747430831193924,257,ambiguous,0.3508352041244507,0.0003860592842102051
img_000013,1,left lung opacity,0.05542654171586037,919,ambiguous,0.3551328480243683,0.0014696121215820312
img_000013,2,small pneumothorax,0.05128183960914612,565,ambiguous,0.34939900040626526,0.0005078017711639404
img_000013,3,left pneumothorax,0.04658378288149834,518,ambiguous,0.3498338460922241,0.0007987916469573975
img_000013,4,bilateral lung opacities,0.04101910442113876,944,ambiguous,0.3549724817276001,0.0010543465614318848
img_000014,1,bilateral lung opacities,0.07550285011529922,522,ambiguous,0.36014336347579956,0.0018553733825683594
img_000014,2,left pneumothorax,0.06761471182107925,1006,ambiguous,0.34988778829574585,0.000495225191116333
img_000014,3,left lung opacity,0.058159224689006805,89,ambiguous,0.3533512353897095,0.0013450980186462402
img_000015,1,bilateral lung opacities,0.07129205018281937,605,ambiguous,0.35039347410202026,0.0006618797779083252
img_000015,2,left lung opacity,0.06388222426176071,1003,ambiguous,0.35532066226005554,0.0005412399768829346
img_000016,1,bilateral lung opacities,0.08595319092273712,605,ambiguous,0.35039347410202026,0.0006618797779083252
img_000016,2,left lung opacity,0.05708843842148781,1003,ambiguous,0.35532066226005554,0.0005412399768829346
img_000017,1,left lung opacity,0.060998085886240005,634,ambiguous,0.35596656799316406,0.00022989511489868164
img_000017,2,small pneumothorax,0.05571465566754341,21,ambiguous,0.35216766595840454,0.0004692673683166504
img_000018,1,bilateral lung opacities,0.06506615877151489,605,ambiguous,0.35039347410202026,0.0006618797779083252
img_000018,2,left lung opacity,0.05108083784580231,1003,ambiguous,0.35532066226005554,0.0005412399768829346
img_000018,3,small pneumothorax,0.040830012410879135,62,ambiguous,0.3494170308113098,0.0006357133388519287
img_000019,1,left lung opacity,0.06462745368480682,544,ambiguous,0.3539101481437683,0.00019979476928710938
img_000019,2,bilateral lung opacities,0.05583255738019943,605,ambiguous,0.35039347410202026,0.0006618797779083252
